"Area","Country code","Year","Area type","Continent","Ember region","EU","OECD","G20","G7","Category","Subcategory","Variable","Unit","Value","YoY absolute change","YoY % change"
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Wind","%",0.05,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Bioenergy","TWh",0.36,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Coal","TWh",1.68,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Gas","TWh",45.98,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Hydro","TWh",28.49,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Nuclear","TWh",5.99,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Other Fossil","TWh",2.71,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Other Renewables","TWh",0,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Solar","TWh",0,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Wind","TWh",0.04,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Total","Total Generation","TWh",85.25,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity imports","Electricity imports","Net Imports","TWh",1.22,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Aggregate fuel","Clean","mtCO2",0.83,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Aggregate fuel","Fossil","mtCO2",25.81,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Aggregate fuel","Gas and Other Fossil","mtCO2",24.43,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Aggregate fuel","Hydro, Bioenergy and Other Renewables","mtCO2",0.76,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Aggregate fuel","Renewables","mtCO2",0.76,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Aggregate fuel","Wind and Solar","mtCO2",0,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","CO2 intensity","CO2 intensity","gCO2/kWh",312.49,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Bioenergy","mtCO2",0.08,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Coal","mtCO2",1.38,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Gas","mtCO2",22.53,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Hydro","mtCO2",0.68,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Nuclear","mtCO2",0.07,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Other Fossil","mtCO2",1.9,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Other Renewables","mtCO2",0,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Solar","mtCO2",0,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Wind","mtCO2",0,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Total","Total emissions","mtCO2",26.64,NA,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Clean","GW",9.74,0.03,0.31
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Fossil","GW",12.91,1.63,14.45
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Gas and Other Fossil","GW",12.53,1.63,14.95
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Hydro, Bioenergy and Other Renewables","GW",8.7,0.02,0.23
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Renewables","GW",8.72,0.03,0.35
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Wind and Solar","GW",0.02,0.01,100
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Bioenergy","GW",0.06,-0.01,-14.29
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Coal","GW",0.38,0,0
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Gas","GW",12.11,1.64,15.66
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Hydro","GW",8.64,0.03,0.35
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Nuclear","GW",1.02,0,0
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Other Fossil","GW",0.42,-0.01,-2.33
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Other Renewables","GW",0,0,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Solar","GW",0,0,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Wind","GW",0.02,0.01,100
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity demand","Demand","Demand","TWh",88.25,1.78,2.06
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity demand","Demand per capita","Demand per capita","MWh",2.36,0.03,1.29
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Clean","%",50.38,NA,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Fossil","%",49.62,NA,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Gas and Other Fossil","%",48.14,NA,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Hydro, Bioenergy and Other Renewables","%",42.76,NA,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Renewables","%",42.82,NA,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Wind and Solar","%",0.06,NA,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Clean","TWh",43.58,8.7,24.94
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Fossil","TWh",42.91,-7.46,-14.81
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Gas and Other Fossil","TWh",41.63,-7.06,-14.5
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Hydro, Bioenergy and Other Renewables","TWh",36.99,8.14,28.21
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Renewables","TWh",37.04,8.15,28.21
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Wind and Solar","TWh",0.05,0.01,25
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Bioenergy","%",0.39,NA,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Coal","%",1.48,NA,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Gas","%",47.05,NA,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Hydro","%",42.37,NA,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Nuclear","%",7.56,NA,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Other Fossil","%",1.09,NA,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Other Renewables","%",0,NA,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Solar","%",0,NA,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Wind","%",0.06,NA,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Bioenergy","TWh",0.34,-0.02,-5.56
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Coal","TWh",1.28,-0.4,-23.81
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Gas","TWh",40.69,-5.29,-11.51
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Hydro","TWh",36.65,8.16,28.64
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Nuclear","TWh",6.54,0.55,9.18
